MMSI,IMO,SHIP_ID,LAT,LON,SPEED,HEADING,COURSE,STATUS,TIMESTAMP,SHIPNAME,SHIPTYPE,CALLSIGN,FLAG,LENGTH,WIDTH,GRT,DWT,DRAUGHT,YEAR_BUILT,TYPE_NAME,AIS_TYPE_SUMMARY,DESTINATION,ETA
255805785,9467146,758557,3.595,105.8867,150,511,42,0,9/19/2022 13:08,LISA,70,CQDI,PT,166.14,23.27,15549,19306,85,2011,General Cargo,Cargo,TAICHUNG,2022-09-24T06:00:00
636020744,9869239,6680494,3.755,105.625,170,511,223,0,9/19/2022 13:42,HMM HANUL,70,5LAM7,LR,365.16,51,152003,160927,122,2021,Container Ship,Cargo,SGSIN PEBGA,2022-09-20T03:45:00
372777000,9365362,463441,3.115,105.2033,110,511,202,0,9/19/2022 13:55,NEW DAWN,80,3EKO7,PA,183,32.23,30042,50561,117,2007,Oil/Chemical Tanker,Tanker,TANJUNG BIN,2022-09-20T04:00:00
636021003,9582489,464849,3.175,108.54,130,511,189,0,9/19/2022 13:04,BULL,70,5LBT8,LR,228.99,32.26,43268,82017,74,2012,Bulk Carrier,Cargo,IDBUT,2022-09-22T02:00:00
370282000,9671424,1013272,2.856667,105.1417,150,511,17,0,9/19/2022 13:36,APOLLO DREAM,80,3EGJ4,PA,339.5,60,160333,311842,199,2014,Crude Oil Tanker,Tanker,JP NGO,2022-09-27T23:00:00
257389000,9827205,5833019,3.435,105.485,140,511,209,0,9/19/2022 13:38,CLIPPER EOS,82,LAFM8,NO,159.86,25.64,18898,18056,70,2019,LPG Tanker,Tanker,CNQIN>SGSIN,2022-09-20T03:00:00
412440799,9920198,6298275,2.728333,105.0583,10,511,212,15,9/19/2022 13:44,FU YAN YU 8586,30,BZ2UU,CN,72,12,1094,,112,2020,Fishing Vessel,Fishing,CLASS B,
412440798,9920186,6298297,2.72,105.0583,10,511,201,8,9/19/2022 13:14,FU YUAN YU 8585,30,BZ1UU,CN,72,12,1094,,75,2020,Fishing Vessel,Fishing,,
210308000,9857444,6787762,2.9,105.2183,130,511,31,0,9/19/2022 13:45,CAPE HELLAS,70,5BWH5,CY,186,35,31696,36634,84,2021,Container Ship,Cargo,CNTAC,2022-09-27T02:00:00
352001273,9930155,7208503,3.4,105.38,100,511,208,0,9/19/2022 13:44,ABM BINARI,70,HOA4734,PA,130,26,,,35,,Cargo,Cargo,SINGAPORE,2022-09-20T12:00:00
